,date,UK 1st dose daily,UK 2nd dose daily,UK Booster/3rd dose daily,UK daily total,UK 1st dose total,UK 2nd dose total,UK Booster/3rd dose total,UK cumulative total,UK Cases daily,UK Cases total
0,27/11/2021,22304.0,31679.0,450480.0,504463.0,50917949,46309909,17581331.0,114809189,39567,10110408
1,26/11/2021,19933.0,23149.0,351195.0,394277.0,50895645,46278230,17130851.0,114304726,50091,10070841
2,25/11/2021,23579.0,22823.0,396081.0,442483.0,50875712,46255081,16779656.0,113910449,47240,10021497
3,24/11/2021,24579.0,23439.0,378946.0,426964.0,50852133,46232258,16383575.0,113467966,43676,9974843
4,23/11/2021,26822.0,22002.0,365152.0,413976.0,50827554,46208819,16004629.0,113041002,42484,9932408
5,22/11/2021,23258.0,18517.0,308166.0,349941.0,50800732,46186817,15639477.0,112627026,44917,9889926
6,21/11/2021,16424.0,13892.0,237995.0,268311.0,50777474,46168300,15331311.0,112277085,40004,9845492
7,20/11/2021,26013.0,24193.0,463064.0,513270.0,50761050,46154408,15093316.0,112008774,40941,9806034
8,19/11/2021,27084.0,21607.0,363884.0,412575.0,50735037,46130215,14630252.0,111495504,44242,9766153
9,18/11/2021,28880.0,20650.0,387057.0,436587.0,50707953,46108608,14266368.0,111082929,46807,9721916
10,17/11/2021,33092.0,22120.0,384421.0,439633.0,50679073,46087958,13879311.0,110646342,38263,9675058
11,16/11/2021,31431.0,19874.0,347557.0,398862.0,50645981,46065838,13494890.0,110206709,37243,9637190
12,15/11/2021,32046.0,18055.0,286582.0,336683.0,50614550,46045964,13147333.0,109807847,39705,9600369
13,14/11/2021,22938.0,17048.0,217349.0,257335.0,50582504,46027909,12860751.0,109471164,36517,9561099
14,13/11/2021,33527.0,24325.0,461985.0,519837.0,50559566,46010861,12643402.0,109213829,38351,9524971
15,12/11/2021,34338.0,22048.0,357774.0,414160.0,50526039,45986536,12181417.0,108693992,40375,9487302
16,11/11/2021,36383.0,22485.0,370989.0,429857.0,50491701,45964488,11823643.0,108279832,42408,9448402
17,10/11/2021,119188.0,47766.0,532238.0,699192.0,50455318,45942003,11452654.0,107849975,39329,9406001
18,09/11/2021,39836.0,21199.0,340294.0,401329.0,50336130,45894237,10920416.0,107150783,33117,9366676
19,08/11/2021,33559.0,20361.0,277578.0,331498.0,50296294,45873038,10580122.0,106749454,32322,9333891
20,07/11/2021,25840.0,14610.0,209885.0,250335.0,50262735,45852677,10302544.0,106417956,30305,9301909
21,06/11/2021,36748.0,24500.0,422882.0,484130.0,50236895,45838067,10092659.0,106167621,30693,9272066
22,05/11/2021,43491.0,22633.0,322703.0,388827.0,50200147,45813567,9669777.0,105683491,34029,9241916
23,04/11/2021,43731.0,20482.0,334398.0,398611.0,50156656,45790934,9347074.0,105294664,37269,9208219
24,03/11/2021,41242.0,17965.0,359834.0,419041.0,50112925,45770452,9012676.0,104896053,41299,9171660
25,02/11/2021,46663.0,20922.0,296670.0,364255.0,50071683,45752487,8652842.0,104477012,33865,9130857
26,01/11/2021,37695.0,19214.0,240943.0,297852.0,50025020,45731565,8356172.0,104112757,40077,9097311
27,31/10/2021,27402.0,13449.0,163949.0,204800.0,49987325,45712351,8115229.0,103814905,38009,9057629
28,30/10/2021,36052.0,25401.0,372414.0,433867.0,49959923,45698902,7951280.0,103610105,41278,9019962
29,29/10/2021,40967.0,22279.0,285228.0,348474.0,49923871,45673501,7578866.0,103176238,43467,8979236
30,28/10/2021,44702.0,23723.0,297656.0,366081.0,49882904,45651222,7293638.0,102827764,39842,8936155
31,27/10/2021,44082.0,21577.0,289514.0,355173.0,49838202,45627499,6995982.0,102461683,43941,8897149
32,26/10/2021,41083.0,23031.0,264468.0,328582.0,49794120,45605922,6706468.0,102106510,40954,8853227
33,25/10/2021,37809.0,21446.0,244992.0,304247.0,49753037,45582891,6442000.0,101777928,36567,8809774
34,24/10/2021,25747.0,18082.0,170505.0,214334.0,49715228,45561445,6197008.0,101473681,39962,8773674
35,23/10/2021,40092.0,30243.0,370429.0,440764.0,49689481,45543363,6026503.0,101259347,44985,8734934
36,22/10/2021,46250.0,26170.0,298685.0,371105.0,49649389,45513120,5656074.0,100818583,49298,8689949
37,21/10/2021,48732.0,26828.0,289601.0,365161.0,49603139,45486950,5357389.0,100447478,52009,8641221
38,20/10/2021,49080.0,26365.0,257094.0,332539.0,49554407,45460122,4745197.0,99759726,49139,8589737
39,19/10/2021,42902.0,32767.0,232075.0,307744.0,49505327,45433757,4488103.0,99427187,43738,8541192
40,18/10/2021,39672.0,23579.0,178205.0,241456.0,49462425,45400990,4256028.0,99119443,49156,8497868
41,17/10/2021,17837.0,17265.0,118032.0,153134.0,49422753,45377411,4077823.0,98877987,45140,8449165
42,16/10/2021,28999.0,33483.0,306200.0,368682.0,49404916,45360146,3959791.0,98724853,43423,8404469
43,15/10/2021,40763.0,29432.0,220888.0,291083.0,49375917,45326663,3653591.0,98356171,44932,8361651
44,14/10/2021,43489.0,27991.0,239017.0,310497.0,49335154,45297231,3432703.0,98065088,45066,8317439
45,13/10/2021,38726.0,29481.0,192497.0,260704.0,49291665,45269240,3193686.0,97754591,42776,8272883
46,12/10/2021,36847.0,26946.0,163318.0,227111.0,49252939,45239759,2731863.0,97224561,38520,8231437
47,11/10/2021,29172.0,23632.0,124536.0,177340.0,49216092,45212813,2568545.0,96997450,40224,8193769
48,10/10/2021,22106.0,19451.0,93476.0,135033.0,49186920,45189181,2444009.0,96820110,34574,8154306
49,09/10/2021,31395.0,33477.0,250809.0,315681.0,49164814,45169730,2350533.0,96685077,34950,8120713
50,08/10/2021,31685.0,29068.0,173928.0,234681.0,49133419,45136253,2099724.0,96369396,41765,8087005
51,07/10/2021,33029.0,28656.0,177629.0,239314.0,49101734,45107185,1925796.0,96134715,40701,8046390
52,06/10/2021,32828.0,28576.0,162097.0,223501.0,49068705,45078529,1748167.0,95895401,39851,8006660
53,05/10/2021,41347.0,28572.0,156100.0,226019.0,49035877,45049953,1586070.0,95671900,33869,7967985
54,04/10/2021,37671.0,29337.0,123877.0,190885.0,48994530,45021381,1429970.0,95445881,35077,7934936
55,03/10/2021,24123.0,21532.0,89518.0,135173.0,48956859,44992044,1306093.0,95254996,30439,7900680
56,02/10/2021,31066.0,34391.0,194461.0,259918.0,48932736,44970512,1216575.0,95119823,30301,7871014
57,01/10/2021,38180.0,34289.0,153912.0,226381.0,48901670,44936121,1022114.0,94859905,35577,7841625
58,30/09/2021,34372.0,34459.0,868202.0,68831.0,48863490,44901832,868202.0,94633524,36480,7807036
59,29/09/2021,31539.0,34093.0,0.0,65632.0,48829118,44867373,0.0,93696491,36722,7771294
60,28/09/2021,31853.0,33532.0,0.0,65385.0,48797579,44833280,0.0,93630859,34526,7736235
61,27/09/2021,24919.0,33177.0,0.0,58096.0,48765726,44799748,0.0,93565474,37960,7701715
62,26/09/2021,15984.0,25539.0,0.0,41523.0,48740807,44766571,0.0,93507378,32417,7664230
63,25/09/2021,24296.0,47118.0,0.0,71414.0,48724823,44741032,0.0,93465855,32468,7632353
64,24/09/2021,27617.0,44759.0,0.0,72376.0,48700527,44693914,0.0,93394441,35623,7601487
65,23/09/2021,25083.0,44588.0,0.0,69671.0,48672910,44649155,0.0,93322065,36710,7565867
66,22/09/2021,22679.0,44047.0,0.0,66726.0,48647827,44604567,0.0,93252394,34460,7530103
67,21/09/2021,20384.0,43406.0,0.0,63790.0,48625148,44560520,0.0,93185668,31564,7496543
68,20/09/2021,20150.0,46342.0,0.0,66492.0,48604764,44517114,0.0,93121878,36100,7465448
69,19/09/2021,13840.0,35157.0,0.0,48997.0,48584614,44470772,0.0,93055386,29612,7429746
70,18/09/2021,26198.0,72497.0,0.0,98695.0,48570774,44435615,0.0,93006389,30144,7400739
71,17/09/2021,20778.0,60384.0,0.0,81162.0,48544576,44363118,0.0,92907694,32651,7371301
72,16/09/2021,23051.0,63973.0,0.0,87024.0,48523798,44302734,0.0,92826532,26911,7339009
73,15/09/2021,24402.0,63290.0,0.0,87692.0,48500747,44238761,0.0,92739508,30597,7312683
74,14/09/2021,17645.0,66725.0,0.0,84370.0,48476345,44175471,0.0,92651816,26628,7282810
75,13/09/2021,19428.0,60653.0,0.0,80081.0,48458700,44108746,0.0,92567446,30825,7256559
76,12/09/2021,14955.0,52615.0,0.0,67570.0,48439272,44048093,0.0,92487365,29173,7226276
77,11/09/2021,27913.0,98059.0,0.0,125972.0,48424317,43995478,0.0,92419795,29547,7197662
78,10/09/2021,26064.0,91811.0,0.0,117875.0,48396404,43897419,0.0,92293823,37622,7168806
79,09/09/2021,25774.0,96702.0,0.0,122476.0,48370340,43805608,0.0,92175948,38013,7132072
80,08/09/2021,25131.0,87960.0,0.0,113091.0,48344566,43708906,0.0,92053472,38975,7094592
81,07/09/2021,26624.0,85848.0,0.0,112472.0,48319435,43620946,0.0,91940381,37489,7056106
82,06/09/2021,22698.0,80015.0,0.0,102713.0,48292811,43535098,0.0,91827909,41192,7018927
83,05/09/2021,21795.0,73193.0,0.0,94988.0,48270113,43455083,0.0,91725196,37011,6978126
84,04/09/2021,41054.0,128553.0,0.0,169607.0,48248318,43381890,0.0,91630208,37578,6941611
85,03/09/2021,35266.0,110590.0,0.0,145856.0,48207264,43253337,0.0,91460601,42076,6904969
86,02/09/2021,40002.0,119375.0,0.0,159377.0,48171998,43142747,0.0,91314745,38154,6862904
87,01/09/2021,44088.0,113385.0,0.0,157473.0,48131996,43023372,0.0,91155368,35693,6825074
88,31/08/2021,39899.0,119402.0,0.0,159301.0,48087908,42909987,0.0,90997895,32181,6789581
89,30/08/2021,19643.0,66648.0,0.0,86291.0,48048009,42790585,0.0,90838594,26476,6757650
90,29/08/2021,24390.0,79440.0,0.0,103830.0,48028366,42723937,0.0,90752303,33196,6731423
91,28/08/2021,43271.0,133688.0,0.0,176959.0,48003976,42644497,0.0,90648473,32406,6698486
92,27/08/2021,44937.0,131456.0,0.0,176393.0,47960705,42510809,0.0,90471514,38046,6666399
93,26/08/2021,55140.0,144936.0,0.0,200076.0,47915768,42379353,0.0,90295121,38281,6628709
94,25/08/2021,68076.0,161705.0,0.0,229781.0,47860628,42234417,0.0,90095045,35847,6590747
95,24/08/2021,55410.0,130676.0,0.0,186086.0,47792552,42072712,0.0,89865264,30838,6555200
96,23/08/2021,46401.0,131283.0,0.0,177684.0,47737142,41942036,0.0,89679178,31914,6524581
97,22/08/2021,40345.0,116352.0,0.0,156697.0,47690741,41810753,0.0,89501494,32253,6492906
98,21/08/2021,73006.0,194881.0,0.0,267887.0,47650396,41694401,0.0,89344797,32058,6460930
99,20/08/2021,60885.0,167392.0,0.0,228277.0,47577390,41499520,0.0,89076910,37314,6429147
100,19/08/2021,55979.0,175059.0,0.0,231038.0,47516505,41332128,0.0,88848633,36572,6392160
101,18/08/2021,47284.0,169223.0,0.0,216507.0,47460526,41157069,0.0,88617595,33904,6355887
102,17/08/2021,43824.0,145875.0,0.0,189699.0,47413242,40987846,0.0,88401088,26852,6322241
103,16/08/2021,35716.0,138390.0,0.0,174106.0,47369418,40841971,0.0,88211389,28438,6295613
104,15/08/2021,31257.0,126383.0,0.0,157640.0,47333702,40703581,0.0,88037283,26750,6267437
105,14/08/2021,46603.0,199584.0,0.0,246187.0,47302445,40577198,0.0,87879643,29520,6241011
106,13/08/2021,40490.0,171585.0,0.0,212075.0,47255842,40377614,0.0,87633456,32700,6211868
107,12/08/2021,44384.0,192559.0,0.0,236943.0,47215352,40206029,0.0,87421381,33074,6179506
108,11/08/2021,41568.0,173761.0,0.0,215329.0,47170968,40013470,0.0,87184438,29612,6146800
109,10/08/2021,37511.0,151143.0,0.0,188654.0,47129400,39839709,0.0,86969109,23510,6117540
110,09/08/2021,32250.0,137028.0,0.0,169278.0,47091889,39688566,0.0,86780455,25161,6094243
111,08/08/2021,22843.0,122070.0,0.0,144913.0,47059639,39551538,0.0,86611177,27429,6069362
112,07/08/2021,37990.0,213583.0,0.0,251573.0,47036796,39429468,0.0,86466264,28612,6042252
113,06/08/2021,36976.0,168356.0,0.0,205332.0,46998806,39215885,0.0,86214691,31808,6014023
114,05/08/2021,35500.0,172692.0,0.0,208192.0,46961830,39047529,0.0,86009359,30215,5982581
115,04/08/2021,33334.0,165669.0,0.0,199003.0,46926330,38874837,0.0,85801167,29312,5952756
116,03/08/2021,29290.0,142761.0,0.0,172051.0,46892996,38709168,0.0,85602164,21691,5923820
117,02/08/2021,26092.0,126192.0,0.0,152284.0,46863706,38566407,0.0,85430113,21952,5902354
118,01/08/2021,21232.0,118044.0,0.0,139276.0,46837614,38440215,0.0,85277829,24470,5880667
119,31/07/2021,38826.0,212014.0,0.0,250840.0,46816382,38322171,0.0,85138553,26144,5856528
120,30/07/2021,36724.0,171096.0,0.0,207820.0,46777556,38110157,0.0,84887713,29622,5830774
121,29/07/2021,42353.0,179918.0,0.0,222271.0,46740832,37939061,0.0,84679893,31117,5801561
122,28/07/2021,43847.0,171173.0,0.0,215020.0,46698479,37759143,0.0,84457622,27734,5770928
123,27/07/2021,35402.0,151650.0,0.0,187052.0,46654632,37587970,0.0,84242602,23511,5745526
124,26/07/2021,30019.0,148936.0,0.0,178955.0,46619230,37436320,0.0,84055550,24950,5722298
125,25/07/2021,24551.0,117956.0,0.0,142507.0,46589211,37287384,0.0,83876595,29173,5697912
126,24/07/2021,43805.0,203886.0,0.0,247691.0,46564660,37169428,0.0,83734088,31795,5669260
127,23/07/2021,42974.0,189341.0,0.0,232315.0,46520855,36965542,0.0,83486397,36389,5637975
128,22/07/2021,44036.0,188297.0,0.0,232333.0,46477881,36776201,0.0,83254082,39906,5602321
129,21/07/2021,45101.0,183338.0,0.0,228439.0,46433845,36587904,0.0,83021749,44104,5563006
130,20/07/2021,39035.0,161279.0,0.0,200314.0,46388744,36404566,0.0,82793310,46558,5519602
131,19/07/2021,35670.0,143560.0,0.0,179230.0,46349709,36243287,0.0,82592996,39950,5473477
132,18/07/2021,18186.0,128878.0,0.0,147064.0,46314039,36099727,0.0,82413766,48161,5433939
133,17/07/2021,67217.0,225214.0,0.0,292431.0,46295853,35970849,0.0,82266702,54674,5386340
134,16/07/2021,69491.0,202314.0,0.0,271805.0,46228636,35745635,0.0,81974271,51870,5332371
135,15/07/2021,61681.0,201893.0,0.0,263574.0,46159145,35543321,0.0,81702466,48553,5281098
136,14/07/2021,60374.0,185661.0,0.0,246035.0,46097464,35341428,0.0,81438892,42302,5233207
137,13/07/2021,59073.0,158276.0,0.0,217349.0,46037090,35155767,0.0,81192857,36660,5191459
138,12/07/2021,54296.0,125360.0,0.0,179656.0,45978017,34997491,0.0,80975508,34471,5155243
139,11/07/2021,42000.0,107620.0,0.0,149620.0,45923721,34872131,0.0,80795852,31772,5121245
140,10/07/2021,93763.0,211446.0,0.0,305209.0,45881721,34764511,0.0,80646232,32367,5089893
141,09/07/2021,90083.0,178819.0,0.0,268902.0,45787958,34553065,0.0,80341023,35707,5058093
142,08/07/2021,96430.0,175467.0,0.0,271897.0,45697875,34374246,0.0,80072121,32551,5022893
143,07/07/2021,86953.0,171477.0,0.0,258430.0,45601445,34198779,0.0,79800224,32548,4990916
144,06/07/2021,85811.0,153126.0,0.0,238937.0,45514492,34027302,0.0,79541794,28773,4958868
145,05/07/2021,76962.0,147814.0,0.0,224776.0,45428681,33874176,0.0,79302857,27334,4930534
146,04/07/2021,77222.0,111410.0,0.0,188632.0,45351719,33726362,0.0,79078081,24248,4903434
147,03/07/2021,137389.0,196209.0,0.0,333598.0,45274497,33614952,0.0,78889449,24885,4879616
148,02/07/2021,123605.0,177478.0,0.0,301083.0,45137108,33418743,0.0,78555851,27125,4855169
149,01/07/2021,152525.0,193066.0,0.0,345591.0,45013503,33241265,0.0,78254768,27989,4828463
150,30/06/2021,141216.0,175749.0,0.0,316965.0,44860978,33048199,0.0,77909177,26068,4800907
151,29/06/2021,137991.0,150688.0,0.0,288679.0,44719762,32872450,0.0,77592212,20479,4775301
152,28/06/2021,127260.0,138016.0,0.0,265276.0,44581771,32721762,0.0,77303533,22868,4755078
153,27/06/2021,139712.0,123555.0,0.0,263267.0,44454511,32583746,0.0,77038257,14876,4732434
154,26/06/2021,234441.0,199505.0,0.0,433946.0,44314799,32460191,0.0,76774990,18270,4717811
